ID_REF,GSM759848,GSM759849,GSM759850,GSM759851,GSM759852
1761670_s_at,519.8389,502.7142,366.9112,484.0094,198.3332
1761671_at,21.51796,5.365239,11.07246,1.471977,19.15605
1761672_at,6.786234,0.9644765,0.6346765,7.848544,0.3950127
1761673_at,1.266525,0.8295349,1.522619,4.420785,0.7288657
1761674_s_at,712.7077,688.4818,812.9559,761.3725,574.3129
1761676_s_at,658.0222,543.8146,1202.679,711.2914,782.7639
1761677_s_at,3.678858,0.285064,1.022085,1.037428,5.675566
1761678_s_at,179.9243,232.8392,80.9159,142.2354,130.9569
1761679_at,91.91957,91.14094,60.87429,65.35307,98.57968
1761680_s_at,471.5628,483.6114,343.1384,544.187,347.416
1761681_s_at,1194.398,1141,975.3411,1058.663,1703.149
1761682_s_at,1409.441,1404.113,1358.766,1065.441,966.1103
1761683_s_at,0.7494144,0.964727,0.6923097,0.5552334,0.8017186
1761684_s_at,1144.045,1310.018,1151.507,864.1499,1697.652
1761685_s_at,1010.383,969.2165,832.7234,786.0396,1175.717
1761686_s_at,788.9631,651.5264,442.1884,805.8747,303.8756
1761687_s_at,908.7479,794.4233,628.8807,901.6351,377.0584
1761688_s_at,651.3647,596.0165,411.8419,667.1736,327.2127
1761689_at,8.694679,10.26973,6.151329,11.13153,2.047772
1761690_s_at,1.546558,2.980962,10.21253,8.405173,1.239225
1761691_s_at,702.8721,475.6198,507.0553,718.9319,361.1671
1761692_s_at,35.41154,37.41599,65.17371,51.56825,62.79918
1761693_x_at,20.79856,40.16256,23.00642,19.56128,13.29339
1761694_at,0.6325874,0.5602003,9.939507,1.023345,1.999031
1761695_s_at,556.5735,462.9352,257.1723,500.6463,133.5211
1761696_s_at,2137.803,2345.251,1866.042,1379.668,2088.642
1761697_s_at,2.479083,7.313679,21.45318,13.90151,6.248458
1761698_s_at,981.5303,813.2105,638.6059,929.5386,319.6743
1761699_s_at,387.7972,363.7466,336.3203,249.4563,115.6252
1761700_s_at,7.298126,2.368995,0.7727525,1.14238,3.9128
1761701_s_at,1030.228,783.3141,593.1271,919.55,560.6006
1761702_s_at,22.81509,21.8511,26.92967,21.86722,29.37341
1761703_s_at,552.4911,667.5121,522.2594,674.8832,184.0949
1761704_s_at,1.84149,4.915661,5.34287,1.336226,1.907866
1761705_s_at,1165.836,1027.111,915.0427,1168.288,826.1631
1761706_at,20.28135,28.94598,26.25146,21.6348,46.82214
1761707_s_at,998.7371,889.6589,765.0942,1019.82,1337.92
1761708_s_at,1211.258,1456.961,1246.901,1159.282,1609.635
1761709_s_at,7.52707,14.32226,21.88055,11.85699,16.24804
1761710_s_at,381.4672,439.9673,1011.126,684.3741,483.4391
1761711_at,101.5627,112.8192,89.18106,88.1087,168.5616
1761712_at,3.692967,4.496293,1.170648,2.324248,1.971082
1761713_s_at,493.6995,389.9198,255.6902,422.9546,110.527
1761714_s_at,1.220193,0.5682312,1.231239,2.852011,1.29107
1761715_s_at,505.5012,575.6492,309.3228,530.9634,214.8272
1761716_s_at,1141.453,1021.372,809.8953,1092.301,356.1561
1761717_s_at,1360.519,1222.848,1489.336,1274.443,1152.656
1761718_at,5.484182,8.872681,1.26096,6.312008,1.875758
1761719_s_at,679.8858,671.4668,315.218,558.0146,137.3947
1761720_s_at,616.5673,631.4127,450.1353,603.988,346.6935
1761721_s_at,741.9183,695.1112,323.7823,724.4041,216.9074
1761722_at,12.79028,8.196917,1.052274,8.152295,15.03933
1761723_at,1.126323,2.881927,0.7902425,6.29966,2.339919
1761724_s_at,4889.644,5885.305,13625.76,6893.559,9311.784
1761725_s_at,411.4316,439.0458,372.8757,489.1477,208.2505
1761726_s_at,816.7984,797.144,575.1603,821.3768,988.5107
1761727_at,1.282788,3.131412,11.61673,5.024422,6.597758
1761728_s_at,2.870633,1.491832,6.874117,2.74352,5.260178
1761729_s_at,1303.513,1360.306,1328.222,1134.169,1773.845
1761730_s_at,355.2162,559.9618,422.2073,444.7979,390.8509
1761731_at,97.21056,65.35884,34.87177,45.93418,64.83391
1761732_s_at,390.2438,510.8455,409.7422,445.588,928.7859
1761733_s_at,976.0165,976.1787,964.6797,1286.695,682.2979
1761734_s_at,970.5703,896.6072,495.5352,839.174,300.1799
1761735_s_at,564.0538,845.6713,477.555,470.418,397.3968
1761736_s_at,546.9561,657.561,285.4989,480.1043,279.356
1761737_at,1269.001,1273.704,1058.067,1211.84,938.9823
1761738_s_at,858.2397,743.8145,703.2587,818.119,481.1793
1761739_s_at,406.749,502.9691,209.8652,346.8291,219.6326
1761740_s_at,790.1849,978.5349,603.7041,711.6705,859.3958
1761741_s_at,19.35063,7.817741,9.187019,2.082314,2.97813
1761742_at,3.419368,0.8685356,0.5000677,0.7708154,1.155297
1761743_at,0.7359032,0.8507607,1.828493,0.9522221,1.323544
1761744_s_at,2.947661,12.19201,37.04565,7.960331,4.179634
1761745_s_at,471.0743,444.1586,320.7614,547.461,240.7061
1761746_at,871.6212,1095.537,805.8346,1040.108,483.2851
1761747_s_at,47.40859,34.00244,43.26598,27.68992,52.38654
1761748_s_at,754.3305,849.7625,759.3096,635.8528,892.1766
1761749_s_at,122.5456,182.4175,50.16582,123.2731,43.78695
1761750_s_at,1112.227,901.2552,577.9783,869.6644,502.674
1761751_at,12.30752,11.29265,6.520292,9.089339,17.02679
1761752_s_at,723.8972,938.1193,1115.938,955.4194,2481.004
1761753_at,7.518131,1.893342,6.076971,5.593174,11.56019
1761754_s_at,408.0266,400.1922,269.2897,425.7972,189.218
1761755_at,23.27102,12.16198,18.71075,25.16078,7.189554
1761756_at,3.872443,1.228977,5.9126,1.384094,3.521794
1761757_at,8.319432,10.31135,11.96616,4.289721,6.924993
1761758_s_at,1054.004,1060.744,1143.045,995.8541,1339.395
1761759_s_at,2337.862,2442.253,4030.18,2751.359,4839.075
1761760_s_at,20.7893,25.5774,23.08117,34.418,23.03137
1761761_s_at,823.0176,853.5491,688.511,795.8264,620.7552
1761762_s_at,562.0161,667.1782,881.1619,687.242,657.3232
1761763_s_at,998.0691,974.9664,803.3577,972.6307,744.6012
1761764_s_at,14.68957,14.645,26.43641,7.28189,24.96139
1761765_s_at,1.034058,11.13107,20.90293,8.552968,1.643105
1761767_s_at,1118.186,1201.665,1169.577,1167.457,1525.245
1761768_s_at,894.8549,833.9402,643.5496,736.7487,1323.692
1761769_s_at,642.0748,408.9044,330.2923,520.0327,236.2751
1761770_at,134.2138,264.0746,116.6503,145.5451,92.25989
1761771_s_at,1079.396,1038.936,715.3966,843.7418,1073.648
1761772_at,0.1342353,0.2008689,0.4720802,3.282862,4.360528
1761773_at,128.4737,207.8901,58.88819,93.30499,114.7726
1761774_s_at,106.0849,122.0233,84.24526,118.0144,62.61062
1761775_s_at,586.6744,660.4827,792.2277,729.3328,1069.259
1761776_s_at,662.6973,658.3987,584.4985,639.1901,675.4271
1761777_s_at,714.5999,730.3732,614.7358,779.8265,1090.301
1761778_at,10.10204,1.229911,2.566455,1.59604,15.51485
1761779_s_at,0.3573476,2.525316,1.454898,1.186872,3.445517
1761780_at,21.85996,29.55543,65.92607,21.03894,32.63347
1761781_s_at,889.564,790.4553,505.1707,1017.527,433.403
1761782_s_at,151.1929,281.359,71.78208,164.0131,19.53491
1761783_s_at,1440.751,1410.281,1710.519,1506.866,2613.014
1761784_at,3.131104,3.820916,1.382762,1.070768,7.314074
1761785_s_at,373.9342,361.4026,261.8465,421.396,156.6295
1761786_s_at,760.3344,614.0062,662.9123,932.3485,504.8949
1761787_s_at,1169.462,894.4423,559.0406,1063.806,387.6041
1761788_s_at,91.31172,106.6991,33.7343,77.29977,85.42937
1761789_s_at,1.471878,1.076326,4.594021,3.968661,2.913151
1761790_s_at,1186.301,1124.407,1326.313,1124.572,1523.322
1761791_at,7.574452,5.123684,7.151012,7.32173,10.51182
1761792_s_at,335.3336,379.6292,1676.469,578.2364,583.4063
1761793_at,23.9232,29.01398,44.37601,12.53958,27.21017
1761794_s_at,1853.075,1977.511,2054.617,1381.513,2855.647
1761795_s_at,3.885448,2.608019,10.08324,1.40324,15.70651
1761796_at,5.301108,5.538928,4.712205,7.993327,12.72278
1761797_at,2.966341,2.203544,3.657755,26.86115,27.88944
1761798_at,5.490647,7.071436,3.510026,11.59155,21.7233
1761799_s_at,693.3538,829.2177,389.6684,795.8375,188.5993
1761800_s_at,769.5804,615.1186,453.1968,896.7403,388.5959
1761801_s_at,386.4509,413.099,251.2563,380.6679,189.2164
1761802_s_at,519.4833,519.3935,265.0074,496.3277,234.8569
1761803_at,4.61043,5.593776,9.22824,7.674136,7.30099
1761804_s_at,919.4594,814.9708,773.2764,868.4316,1669.123
1761805_s_at,858.0162,621.194,425.241,707.522,277.9012
1761806_s_at,929.0116,905.692,826.7117,748.1068,1129.443
1761807_s_at,479.7236,530.4577,319.5206,458.3112,159.1742
1761808_at,775.0466,770.6976,611.7866,853.8028,375.8224
1761809_s_at,0.2181549,0.03322558,1.157846,0.397052,1.601974
1761810_s_at,0.4971606,2.929029,1.886494,0.4584577,1.771338
1761811_s_at,632.7349,560.9643,420.6995,686.5886,244.6514
1761812_s_at,13.845,8.783944,18.81263,1.674739,7.389578
1761813_s_at,17.955,30.00057,23.56697,21.81466,36.63167
1761814_s_at,35.07819,27.42266,36.10562,20.13282,32.12724
1761815_s_at,641.0269,627.8807,525.9251,546.1417,291.34
1761816_s_at,715.7624,667.6321,641.2607,793.9128,284.7999
1761817_s_at,1251.665,931.3342,2196.158,1245.17,1860.044
1761818_at,0.5910521,0.4302836,3.564303,3.448488,2.011189
1761819_s_at,2201.857,2158.584,2439.375,1620.123,4412.235
1761820_s_at,783.1125,724.7357,404.881,717.2121,397.4525
